Seuence,CZB_ID,RR_ID,n_atcg,avg_depth ,mapped_reads,assay,ct
SEQ057,RR065e_03372,RR065,26123,36,,SC2,18
SEQ057,RR065e_03412,RR065,1089,1,,SC2,16
SEQ057,RR065e_03414,RR065,15443,0,,SC2,19
SEQ057,RR065e_03415,RR065,27282,5,,SC2,17
SEQ057,RR065e_03423,RR065,24684,10,,SC2,15
SEQ057,RR065e_03424,RR065,22889,11,,SC2,16
SEQ057,RR065e_03425,RR065,1826,2,,SC2,19
SEQ057,RR065e_03427,RR065,1595,4,,SC2,19
SEQ057,RR065e_03433,RR065,10657,9,,SC2,17
SEQ057,RR065e_03434,RR065,1318,0,,SC2,18
SEQ057,RR065e_03435,RR065,1726,2,,SC2,17
SEQ057,RR065e_03436,RR065,15446,7,,SC2,17
SEQ057,RR065e_03437,RR065,1842,2,,SC2,19
SEQ057,RR066e_01224,RR066,19704,23,,N1,5.54
SEQ058,RR065e_03445,RR065,23883,11,,SC2,17
SEQ058,RR065e_03456,RR065,25393,9,,SC2,19
SEQ058,RR065e_03524,RR065,27308,12,,SC2,17
SEQ058,RR066e_01295,RR066,21459,12,,N1,9.51
SEQ058,RR074e_01876,RR074,23722,23,,N1,19.54
SEQ059,RR065e_04026,RR065,27036,7,,SC2,18
SEQ059,RR065e_04032,RR065,27233,9,,SC2,19
SEQ059,RR065e_04046,RR065,447,4,,SC2,15
SEQ060,RR096e_00392,RR096,0,0,,N,17
SEQ060,RR096e_00394,RR096,0,0,,N,12
SEQ060,RR096e_00395,RR096,0,0,,N,9
SEQ060,RR096e_00397,RR096,0,0,,N,16
SEQ060,RR096e_00399,RR096,0,0,,N,13
SEQ061,RR065e_04058,RR065,23665,15,,SC2,17
SEQ061,RR065e_04083,RR065,22780,11,,SC2,16
SEQ061,RR065e_04108,RR065,24856,7,,SC2,16
SEQ061,RR065e_04114,RR065,27415,2,,SC2,16
SEQ061,RR065e_04124,RR065,23751,4,,SC2,16
SEQ061,RR065e_04125,RR065,20130,15,,SC2,19
SEQ061,RR077e_00254,RR077,0,0,,N,14.5
SEQ061,RR066e_01805,RR066,0,0,,N1,6.19
SEQ061,RR066e_01807,RR066,0,0,,N1,9.68
SEQ061,RR066e_01808,RR066,0,0,,N1,9.03
SEQ061,RR066e_01810,RR066,0,0,,N1,6.43
SEQ061,RR066e_01813,RR066,0,0,,N1,7.09
SEQ061,RR066e_01814,RR066,0,0,,N1,3.15
SEQ061,RR066e_01825,RR066,0,0,,N1,3.63
SEQ061,RR066e_01826,RR066,0,0,,N1,3.28
SEQ062,RR066e_02087,RR066,26864,7122.159,,N1,9.31
SEQ062,RR073e_00131,RR073,6436,39.08,,N1,33
SEQ062,RR073e_00132,RR073,24313,247.188,,N1,29
SEQ064,RR077e_00473,RR077,7617,1,,N,26.9
SEQ064,RR077e_00335,RR077,0,0,,ORF,1204
SEQ064,RR096e_00645,RR096,19024,38,,N,19.02
SEQ064,RR066e_02030,RR066,0,0,,N1,6.76
SEQ065,RR066e_01901,RR066,23955,7,,N1,7.13
SEQ065,RR066e_01922,RR066,17604,0,,N1,9.24
SEQ065,RR065e_04290,RR065,23253,4,,SC2,17.8
SEQ065,RR065e_04319,RR065,26491,8,,SC2,16
SEQ065,RR065e_04322,RR065,2502,1,,SC2,19.6
SEQ065,RR065e_04323,RR065,15526,3,,SC2,17.7
SEQ065,RR065e_04330,RR065,0,0,,SC2,14.8
SEQ_67,RR066e_02137,RR066,28042,219.227,,N1,5.84
SEQ_67,RR066e_02185,RR066,27684,131.681,,N1,18.67
SEQ_67,RR066e_02200,RR066,29317,331.847,,E,12.79
SEQ_67,RR066e_02201,RR066,27951,429.004,,N1,14.69
SEQ_67,RR066e_02207,RR066,28984,423.857,,N1,10.77
SEQ_67,RR066e_02209,RR066,28618,462.744,,N1,13.93
SEQ_67,RR066e_02210,RR066,29605,179.157,,N1,3.29
SEQ_67,RR066e_02216,RR066,29375,497.285,,N1,5.14
SEQ_67,RR066e_02221,RR066,27749,105.881,,N1,10.83
SEQ_67,RR075e_00950,RR075,28408,434.702,,CoV,26.3
SEQ_67,RR075e_00957,RR075,29573,279.927,,CoV,22.9
SEQ_67,RR075e_00969,RR075,28622,239.098,,CoV,27.9
SEQ_67,RR075e_00992,RR075,27723,204.317,,CoV,31.5
SEQ_67,RR075e_00996,RR075,29570,480.597,,CoV,19.5
SEQ_67,RR075e_00998,RR075,28916,261.248,,CoV,25.5
SEQ_67,RR075e_01000,RR075,29110,465.929,,CoV,29.2
SEQ_67,RR075e_01004,RR075,28483,166.043,,CoV,30
SEQ_67,RR096e_00873,RR096,27792,336.992,,N,27.41
SEQ_67,RR096e_00907,RR096,28582,417.226,,N,26.6
SEQ_67,RR096e_00908,RR096,29587,395.363,,N,13.69
SEQ_67,RR096e_00920,RR096,28644,215.447,,N,26.36
SEQ_67,RR096e_01046,RR096,29461,499.34,,N,23.22
SEQ_67,RR096e_01067,RR096,27612,223.346,,N,27.65
SEQ_67,RR096e_01075,RR096,28636,80.408,,N,21.64
SEQ_67,RR096e_01082,RR096,29517,340.534,,N,18.23
SEQ_67,RR096e_01096,RR096,29512,140.478,,N,15.83
SEQ_67,RR096e_01097,RR096,29374,347.841,,N,17.07
SEQ_68,RR073e_00131,RR073,4894,,,N1,33
SEQ_68,RR073e_00132,RR073,22075,,,N1,29
SEQ_68,RR073e_00138,RR073,7043,,,N1,35
SEQ_68,RR074e_02220,RR074,23957,,,N1,21.93
SEQ_68,RR074e_02223,RR074,19535,,,N,23.3
SEQ_68,RR066e_02228,RR066,5848,,,N1,6.39
SEQ_68,RR066e_02229,RR066,0,,,N1,7.86
SEQ_68,RR066e_02230,RR066,0,,,N1,5.52
SEQ_68,RR065e_04362,RR065,18714,,,SC2,19.1
SEQ_68,RR065e_04366,RR065,16496,,,SC2,16
SEQ_68,RR065e_04377,RR065,19345,,,SC2,15.3
SEQ_68,RR065e_04378,RR065,21250,,,SC2,15.1
SEQ_68,RR065e_04385,RR065,26232,,,SC2,16
SEQ_68,RR065e_04386,RR065,26707,,,SC2,18
SEQ_68,RR065e_04390,RR065,23447,,,SC2,15
SEQ_68,RR065e_04391,RR065,20601,,,SC2,15.5
SEQ_68,RR065e_04396,RR065,18858,,,SC2,16.7
SEQ_68,RR065e_04398,RR065,18952,,,SC2,16.7
SEQ_68,RR065e_04400,RR065,18839,,,SC2,17.6
SEQ_68,RR065e_04401,RR065,18700,,,SC2,18.9
SEQ_68,RR065e_04405,RR065,0,,,SC2,17.5
SEQ_68,RR065e_04408,RR065,25932,,,SC2,15.8
SEQ_68,RR065e_04416,RR065,17955,,,SC2,19.7
SEQ_68,RR065e_04423,RR065,17599,,,SC2,17.3
SEQ_68,RR096e_00996,RR096,26107,,,N,17.13
SEQ_68,RR096e_01011,RR096,19350,,,N,17.28
SEQ_69,RR065e_04433,RR065,23152,,,SC2,32
SEQ_69,RR065e_04434,RR065,18189,,,SC2,30.3
SEQ_69,RR065e_04439,RR065,7351,,,SC2,30.2
SEQ_69,RR065e_04447,RR065,25730,,,SC2,29.8
SEQ_69,RR065e_04459,RR065,2439,,,SC2,30.1
SEQ_69,RR065e_04469,RR065,16922,,,SC2,25.9
SEQ_69,RR065e_04471,RR065,17843,,,SC2,22.8
SEQ_69,RR065e_04472,RR065,17517,,,SC2,17.2
SEQ_69,RR065e_04474,RR065,498,,,SC2,30.7
SEQ_69,RR065e_04476,RR065,17313,,,SC2,28.1
SEQ_69,RR065e_04477,RR065,22752,,,SC2,23.5
SEQ_69,RR065e_04479,RR065,18716,,,SC2,27.7
SEQ_69,RR065e_04480,RR065,18175,,,SC2,23.5
SEQ_69,RR065e_04481,RR065,23696,,,SC2,29.9
SEQ_69,RR065e_04484,RR065,25265,,,SC2,19.5
SEQ_69,RR065e_04486,RR065,19108,,,SC2,24.4
SEQ_69,RR065e_04487,RR065,5291,,,SC2,30.7
SEQ_69,RR065e_04490,RR065,8131,,,SC2,32.9
SEQ_69,RR065e_04491,RR065,20071,,,SC2,32.3
SEQ_69,RR065e_04492,RR065,7798,,,SC2,30.7
SEQ_69,RR065e_04494,RR065,29398,,,SC2,27.9
SEQ_69,RR065e_04500,RR065,20617,,,SC2,26.2
SEQ_69,RR065e_04502,RR065,7000,,,SC2,32.9
SEQ_69,RR065e_04503,RR065,25817,,,SC2,18.6
SEQ_69,RR065e_04504,RR065,2588,,,SC2,32.2
SEQ_69,RR065e_04508,RR065,12291,,,SC2,29.7
SEQ_69,RR065e_04515,RR065,27140,,,SC2,28.6
SEQ_69,RR065e_04518,RR065,26597,,,SC2,23.2
SEQ_70,RR065e_04524,RR065,0,,,SC2,29.7
SEQ_70,RR065e_04529,RR065,9551,,,SC2,29.6
SEQ_70,RR065e_04530,RR065,0,,,SC2,32.4
SEQ_70,RR065e_04531,RR065,18029,,,SC2,27.2
SEQ_70,RR065e_04532,RR065,5194,,,SC2,32.2
SEQ_70,RR065e_04533,RR065,286,,,SC2,30
SEQ_70,RR065e_04534,RR065,16931,,,SC2,28.1
SEQ_70,RR065e_04535,RR065,6609,,,SC2,30.2
SEQ_70,RR065e_04536,RR065,19771,,,SC2,30.7
SEQ_70,RR065e_04537,RR065,24297,,,SC2,22.9
SEQ_70,RR065e_04539,RR065,12249,,,SC2,29.9
SEQ_70,RR065e_04540,RR065,19669,,,SC2,30.3
SEQ_70,RR065e_04541,RR065,21786,,,SC2,28.2
SEQ_70,RR065e_04542,RR065,23076,,,SC2,30.9
SEQ_70,RR065e_04543,RR065,6357,,,SC2,28.8
SEQ_70,RR065e_04544,RR065,22372,,,SC2,29.8
SEQ_70,RR065e_04545,RR065,25859,,,SC2,27.7
SEQ_70,RR065e_04546,RR065,21690,,,SC2,29.8
SEQ_70,RR065e_04549,RR065,26850,,,SC2,26.8
SEQ_70,RR065e_04550,RR065,9314,,,SC2,32.5
SEQ_70,RR065e_04551,RR065,19010,,,SC2,31.2
SEQ_70,RR065e_04554,RR065,15729,,,SC2,29.9
SEQ_70,RR065e_04555,RR065,26151,,,SC2,28.2
SEQ_70,RR065e_04559,RR065,26963,,,SC2,27.7
SEQ_70,RR065e_04560,RR065,23113,,,SC2,32.1
SEQ_70,RR065e_04562,RR065,23398,,,SC2,31
SEQ_70,RR065e_04565,RR065,7490,,,SC2,32.8
SEQ_70,RR065e_04570,RR065,9518,,,SC2,28.9
SEQ_70,RR065e_04571,RR065,25970,,,SC2,26.2
SEQ_70,RR065e_04572,RR065,8969,,,SC2,32
SEQ_70,RR065e_04575,RR065,25507,,,SC2,26.7
SEQ_70,RR065e_04577,RR065,11959,,,SC2,30.2
SEQ_70,RR065e_04579,RR065,11532,,,SC2,26.4
SEQ_70,RR065e_04580,RR065,10382,,,SC2,32.2
SEQ_70,RR065e_04582,RR065,24465,,,SC2,33
SEQ_70,RR065e_04583,RR065,24983,,,SC2,27.1
SEQ_70,RR065e_04584,RR065,24994,,,SC2,25
SEQ_70,RR065e_04585,RR065,26182,,,SC2,30.2
SEQ_70,RR065e_04587,RR065,23897,,,SC2,29.3
SEQ_70,RR065e_04588,RR065,23745,,,SC2,28.9
SEQ_70,RR065e_04589,RR065,1788,,,SC2,32.5
SEQ_70,RR065e_04591,RR065,12373,,,SC2,31.5
SEQ_70,RR065e_04594,RR065,27283,,,SC2,27.5
SEQ_70,RR065e_04597,RR065,27308,,,SC2,29.4
SEQ_70,RR065e_04598,RR065,2195,,,SC2,31.6
SEQ_70,RR065e_04600,RR065,2803,,,SC2,32.5
