sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04047_W-R214-A1_A01_S1	2.614	580	585580	1789	20649	0	1	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.030	0.030	0.005	579	490	78	0
RR065e_04048_W-R214-B1_C01_S3	3847.162	908240	1958990	29645	187	0	4	17	0	0	10.000	95.100	679.000	1502.000	3261.000	5407.500	0.992	0.973	0.973	0.950	904317	718342	184794	2340
RR065e_04049_W-R214-C1_E01_S5	442.570	99321	613862	28127	1627	0	45	19	0	0	0.000	8.000	23.000	93.000	243.000	614.000	0.944	0.886	0.886	0.739	98946	86000	12672	54
RR065e_04050_W-R214-D1_G01_S7	0.090	22	1796044	124	151	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	22	12	10	0
RR065e_04051_W-R214-E1_I01_S9	0.062	14	2862848	0	20306	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14	12	0	0
RR065e_04052_W-R214-F1_K01_S11	1119.249	264157	1735382	27804	2007	0	4	23	0	0	0.000	4.000	16.000	95.000	444.000	1331.000	0.930	0.863	0.863	0.743	263107	209672	53090	308
RR065e_04053_W-R214-G1_M01_S13	4568.974	988456	1898426	29652	247	0	2	20	0	0	19.000	296.000	1117.000	2344.500	4103.000	6234.000	0.992	0.984	0.984	0.975	985621	914378	71126	490
RR065e_04054_W-R214-H1_O01_S15	88.641	19333	1071806	15941	13665	0	10	13	0	1	0.000	0.000	0.000	0.000	12.000	77.000	0.533	0.405	0.405	0.222	19287	17406	1744	0
RR065e_04055_W-R214-A2_A03_S33	2516.337	561933	1139680	29745	144	0	2	20	0	0	25.020	98.000	337.200	1070.500	1972.000	3430.500	0.995	0.985	0.985	0.949	560374	487478	72566	392
RR065e_04056_W-R214-B2_C03_S35	7286.898	1775305	2420772	29687	167	0	3	24	0	0	14.000	1895.000	3359.200	5113.000	6963.000	9175.500	0.993	0.982	0.982	0.979	1767738	1337772	428720	3322
RR065e_04057_W-R214-C2_E03_S37	2847.375	644488	956868	29107	758	0	1	19	0	0	3.000	48.000	151.000	1198.000	2381.000	4073.000	0.973	0.957	0.957	0.920	642480	546174	96044	574
RR065e_04058_W-R214-D2_G03_S39	24.991	5866	7718	23665	6109	0	15	19	0	1	0.000	1.000	4.000	11.000	22.000	36.000	0.792	0.343	0.343	0.000	5851	4676	1060	4
RR065e_04059_W-R214-E2_I03_S41	14.344	3439	268774	7313	22005	0	9	4	0	1	0.000	0.000	0.000	0.000	0.000	9.000	0.245	0.128	0.128	0.037	3414	2636	716	0
RR065e_04060_W-R214-F2_K03_S43	0.166	35	767278	262	15579	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	35	34	0	0
RR065e_04061_W-R214-G2_M03_S45	126.414	27890	721360	14381	15373	0	1	8	0	0	0.000	0.000	0.000	0.000	8.000	67.000	0.481	0.361	0.361	0.198	27775	24666	2936	2
RR065e_04062_W-R214-H2_O03_S47	461.749	100902	786500	28520	1271	0	6	21	0	0	0.000	12.000	36.200	140.000	334.000	659.000	0.954	0.909	0.909	0.802	100623	90806	9690	48
RR065e_04063_W-R214-A3_A05_S65	2424.457	539327	1130096	29034	786	0	3	22	0	0	0.000	29.000	168.000	836.000	1929.000	3496.000	0.971	0.949	0.949	0.919	537693	471152	66184	380
RR065e_04064_W-R214-B3_C05_S67	3011.708	719042	1179530	29141	711	0	5	21	0	0	0.000	36.000	220.000	1319.000	2671.000	4251.000	0.975	0.954	0.954	0.927	716071	558686	156694	1464
RR065e_04065_W-R214-C3_E05_S69	75.046	16924	309940	16496	13231	0	14	16	0	1	0.000	0.000	0.000	0.000	12.000	62.000	0.553	0.364	0.364	0.173	16894	14284	2448	8
RR065e_04066_W-R214-D3_G05_S71	3807.843	902821	1234946	29676	225	0	2	23	0	0	17.000	396.000	1058.000	2367.500	3647.000	4976.000	0.992	0.983	0.983	0.972	899596	708162	191248	942
RR065e_04067_W-R214-E3_I05_S73	0.406	94	190084	297	27693	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.005	0.005	0.000	94	70	24	0
RR065e_04068_W-R214-F3_K05_S75	1294.611	304975	951246	25863	3957	0	12	19	0	1	0.000	0.000	4.000	42.000	340.000	1534.500	0.865	0.781	0.781	0.685	303760	243980	59472	436
RR065e_04069_W-R214-G3_M05_S77	4919.434	1074224	1458070	29399	454	0	0	25	0	0	1.000	128.000	1336.000	2799.000	4653.000	6699.500	0.983	0.978	0.978	0.955	1071261	973070	97892	434
RR065e_04070_W-R214-H3_O05_S79	0.846	190	927276	647	18401	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.014	0.014	0.000	190	164	22	0
RR065e_04071_W-R214-A4_A07_S97	0.180	42	46704	0	27793	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	42	36	4	0
RR065e_04072_W-R214-B4_C07_S99	9273.170	2223277	3501094	29639	262	0	2	16	0	0	15.000	1152.000	3269.000	5901.000	8659.000	12078.000	0.991	0.989	0.989	0.986	2213792	1712768	499212	5462
RR065e_04073_W-R214-C4_E07_S101	11767.261	2597465	3289896	29814	84	0	1	17	0	0	494.020	3248.300	5057.200	7680.000	11178.000	15128.500	0.997	0.997	0.997	0.996	2590246	2303102	286560	1652
RR065e_04074_W-R214-D4_G07_S103	246.326	58034	420004	26525	3281	0	7	22	0	1	0.000	0.000	6.000	42.000	139.000	336.000	0.889	0.797	0.797	0.581	57801	45576	12030	38
RR065e_04075_W-R214-E4_I07_S105	921.560	219130	347090	28418	1432	0	5	26	0	0	0.000	10.000	40.000	388.000	770.000	1307.000	0.951	0.912	0.912	0.866	218310	170118	47960	154
RR065e_04076_W-R214-F4_K07_S107	2411.450	567381	1263824	27915	1933	0	4	23	0	0	0.000	4.000	37.000	470.000	1821.000	3739.000	0.934	0.907	0.907	0.873	565183	452018	113094	806
RR065e_04077_W-R214-G4_M07_S109	0.695	169	456410	518	28290	0	1	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.006	0.006	0.000	169	142	22	0
RR065e_04078_W-R214-H4_O07_S111	37.373	8307	877386	9507	18269	0	11	13	0	0	0.000	0.000	0.000	0.000	0.000	29.000	0.318	0.249	0.249	0.145	8293	7230	970	2
RR065e_04079_W-R214-A5_A09_S129	622.697	137898	1242324	28650	1127	0	17	20	0	0	0.000	15.000	35.000	133.000	407.000	843.000	0.959	0.915	0.915	0.785	137431	122442	14778	74
