sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04142_W-R220-A1_A02_S401	18060.469	4484230	6632222	29840	58	0	1	21	0	0	239.000	5764.000	7877.000	11256.000	16044.000	22837.500	0.998	0.997	0.997	0.996	4462940	3295316	1166898	2060
RR065e_04143_W-R220-B1_C02_S403	14696.723	3812037	7889408	29759	140	0	4	34	0	0	67.000	1455.100	4163.000	8299.000	14100.000	20146.000	0.995	0.993	0.993	0.982	3792907	2620210	1172784	1858
RR065e_04144_W-R220-C1_E02_S405	16042.301	4142114	6669406	29856	46	0	1	22	0	0	397.020	4087.000	6219.000	9626.500	14585.000	20959.000	0.998	0.998	0.998	0.998	4121738	2875082	1247932	2172
RR065e_04145_W-R220-D1_G02_S407	9635.856	2656694	5594128	29817	80	0	2	24	0	0	28.000	590.000	2032.200	4307.000	8840.000	13260.500	0.997	0.989	0.989	0.983	2642149	1692234	949882	1354
RR065e_04146_W-R220-E1_I02_S409	5440.841	1501141	1893396	29329	492	0	6	34	0	0	2.000	269.000	732.000	2297.500	4802.000	7439.000	0.981	0.977	0.977	0.968	1493042	956390	536136	720
RR065e_04147_W-R220-F1_K02_S411	64.915	17858	3593842	9973	19587	0	11	6	0	0	0.000	0.000	0.000	0.000	0.000	28.000	0.334	0.246	0.246	0.152	17766	11242	6370	4
RR065e_04148_W-R220-G1_M02_S413	365.506	101085	4010720	27262	2533	0	20	20	0	0	0.000	4.000	11.000	33.000	130.000	435.000	0.913	0.768	0.768	0.554	100509	63582	36704	46
RR065e_04149_W-R220-H1_O02_S415	1012.419	277117	3985274	28756	1043	0	16	28	0	0	0.000	20.000	59.000	290.000	645.000	1391.000	0.963	0.946	0.946	0.852	275632	178460	96888	80
RR065e_04150_W-R220-A2_A04_S433	10120.014	2603699	7525776	29618	274	0	4	18	0	0	11.020	119.000	626.000	2623.500	8438.000	14921.500	0.991	0.974	0.974	0.954	2590734	1814170	776646	1306
RR065e_04151_W-R220-B2_C04_S435	412.535	114611	4663008	22755	7052	0	10	18	0	2	0.000	0.000	0.000	12.000	120.000	399.000	0.761	0.693	0.693	0.536	113984	71498	42270	42
RR065e_04152_W-R220-C2_E04_S437	5383.876	1510536	4213840	29264	594	0	2	17	0	0	0.000	244.000	729.200	2493.000	4543.000	7425.000	0.979	0.979	0.979	0.965	1501931	946238	555468	536
RR065e_04153_W-R220-D2_G04_S439	18681.852	4843312	7888870	29770	126	0	1	20	0	0	219.000	1804.200	5057.200	9414.000	17844.000	26213.500	0.996	0.991	0.991	0.991	4819035	3333390	1484792	2912
RR065e_04154_W-R220-E2_I04_S441	1004.945	279169	341784	29599	199	0	19	19	0	0	10.000	62.000	110.000	340.000	773.000	1295.000	0.991	0.980	0.980	0.913	277743	176024	101470	70
RR065e_04155_W-R220-F2_K04_S443	162.135	45042	5319812	21373	8407	0	27	14	0	0	0.000	0.000	0.000	6.000	39.000	162.000	0.716	0.557	0.557	0.331	44782	28634	16026	2
RR065e_04156_W-R220-G2_M04_S445	9471.883	2489559	6442270	29349	547	0	3	30	0	0	3.000	120.000	1273.200	3463.500	8295.000	13353.000	0.982	0.974	0.974	0.953	2476838	1685568	790822	1468
RR065e_04157_W-R220-H2_O04_S447	140.423	37757	6863464	18586	11030	0	8	16	0	2	0.000	0.000	0.000	1.000	29.000	132.000	0.622	0.500	0.500	0.308	37506	24738	12574	24
RR065e_04158_W-R220-A3_A06_S465	21744.789	5539740	6340138	29840	59	0	3	28	0	0	463.000	8461.200	11320.400	15929.000	21794.000	27127.000	0.998	0.997	0.997	0.997	5512749	3916544	1595690	2176
RR065e_04159_W-R220-B3_C06_S467	277.766	75316	5595822	20379	9411	0	25	16	0	1	0.000	0.000	0.000	3.000	63.000	342.500	0.683	0.589	0.589	0.414	74911	49008	25762	8
RR065e_04160_W-R220-C3_E06_S469	125.460	34331	4373486	14725	15091	0	6	15	0	1	0.000	0.000	0.000	0.000	8.000	129.000	0.493	0.438	0.438	0.294	34146	21922	12048	16
RR065e_04161_W-R220-D3_G06_S471	27214.325	6876983	7749478	29857	43	0	3	28	0	0	4779.060	11705.300	14539.400	19871.000	26465.000	32622.500	0.999	0.998	0.998	0.997	6844069	4918982	1923674	4076
RR065e_04162_W-R220-E3_I06_S473	19024.181	4816879	6930728	29813	100	0	3	22	0	0	75.020	3906.000	7272.600	12315.500	18200.000	25286.500	0.997	0.991	0.991	0.988	4793664	3429408	1363510	2436
RR065e_04163_W-R220-F3_K06_S475	17300.509	4345286	7062500	29836	60	0	3	18	0	0	90.000	2692.300	5431.000	10545.500	16560.000	23561.000	0.998	0.997	0.997	0.990	4324042	3132368	1191422	2494
RR065e_04164_W-R220-G3_M06_S477	17991.213	4447191	8805616	29814	88	0	1	25	0	0	41.000	2235.100	6010.000	10804.500	17232.000	24047.500	0.997	0.992	0.992	0.981	4425831	3279002	1147684	2866
RR065e_04165_W-R220-H3_O06_S479	10958.963	2689939	4958468	29619	280	0	0	23	0	0	19.120	2520.000	3688.200	5766.000	9260.000	14720.500	0.991	0.990	0.990	0.988	2676989	2010104	666476	2372
RR065e_04166_W-R220-A4_A08_S497	7188.152	1920961	4831342	29761	95	0	2	28	0	0	38.020	522.100	1447.200	3589.500	6385.000	10063.000	0.995	0.993	0.993	0.974	1910517	1274088	636304	1034
RR065e_04167_W-R220-B4_C08_S499	26330.759	6592536	7313620	29853	49	0	1	24	0	0	6041.240	10534.100	13633.200	18653.000	25364.000	32648.000	0.998	0.998	0.998	0.997	6563804	4770650	1792710	3318
RR065e_04168_W-R220-C4_E08_S501	1365.724	370117	5041150	28983	823	0	12	20	0	1	0.000	37.000	73.000	257.000	602.000	1552.000	0.970	0.957	0.957	0.876	368176	241388	126626	114
RR065e_04169_W-R220-D4_G08_S503	12521.526	3165561	6196746	29844	51	0	2	18	0	0	34.000	385.100	1031.400	5303.000	10620.000	17846.000	0.998	0.994	0.994	0.975	3151103	2259498	891498	2078
RR065e_04170_W-R220-E4_I08_S505	7539.440	1992240	5942580	29535	300	0	2	24	0	0	1.000	313.100	1180.200	3144.000	6684.000	10340.000	0.988	0.982	0.982	0.966	1982126	1340426	641308	928
RR065e_04171_W-R220-F4_K08_S507	15307.162	4042619	5471572	29697	160	0	2	21	0	0	55.000	4990.100	7540.200	11070.000	15013.000	19141.500	0.993	0.991	0.991	0.989	4023013	2722092	1300582	1608
RR065e_04172_W-R220-G4_M08_S509	10451.021	2778803	6336874	29853	49	0	0	28	0	0	97.000	583.000	2233.000	4761.000	9509.000	14707.000	0.998	0.992	0.992	0.990	2765245	1849776	915778	1298
RR065e_04173_W-R220-H4_O08_S511	19.248	5108	2644856	4187	22443	0	6	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.140	0.092	0.092	0.041	5086	3402	1582	4
RR065e_04174_W-R220-A5_A10_S529	5466.210	1463734	6123290	29549	323	0	1	24	0	0	1.000	279.100	685.200	2186.000	4579.000	7688.500	0.988	0.986	0.986	0.971	1456144	968846	487196	550
RR065e_04175_W-R220-B5_C10_S531	19489.367	5155198	5985356	29837	51	0	2	34	0	0	4868.040	8509.000	10724.200	14497.000	18940.000	24173.000	0.998	0.998	0.998	0.997	5129588	3460460	1668650	2588
RR065e_04176_W-R220-C5_E10_S533	10613.749	2850712	4766018	29854	44	0	1	22	0	0	51.000	930.000	2370.400	6001.500	10171.000	14743.000	0.998	0.997	0.997	0.989	2835988	1880398	955294	1586
RR065e_04177_W-R220-D5_G10_S535	16067.574	4104252	6184122	29854	9	0	0	22	0	0	272.020	4258.300	5923.200	9358.500	14151.000	20908.500	0.998	0.998	0.998	0.997	4084858	2891846	1193072	2038
RR065e_04178_W-R220-E5_I10_S537	10.480	2869	3487836	2366	27242	0	1	3	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.079	0.055	0.055	0.030	2838	1764	1006	0
RR065e_04179_W-R220-F5_K10_S539	5224.924	1384778	5914684	29807	50	0	9	20	0	0	37.000	235.000	653.000	1718.500	3609.000	7141.500	0.997	0.994	0.994	0.971	1377567	930120	447400	828
RR065e_04180_W-R220-G5_M10_S541	39.508	10414	3044178	7820	21738	0	3	6	0	1	0.000	0.000	0.000	0.000	0.000	11.000	0.262	0.188	0.188	0.079	10361	7034	3218	0
RR065e_04181_W-R220-H5_O10_S543	23882.499	5989313	6759996	29854	48	0	1	19	0	0	138.020	8381.000	10817.200	14900.000	21145.000	30626.500	0.998	0.998	0.998	0.994	5960430	4328592	1630556	2894
RR065e_04182_W-R220-A6_A12_S561	16505.781	4167614	7843678	29755	110	0	1	28	0	0	76.000	2435.200	5051.200	9760.500	15549.000	22448.000	0.995	0.993	0.993	0.989	4148722	2984158	1165034	2148
RR065e_04183_W-R220-B6_C12_S563	558.631	148296	3335332	27706	2098	0	13	19	0	0	0.000	5.000	15.000	62.000	196.000	549.000	0.927	0.852	0.852	0.650	147481	99236	48012	46
RR065e_04184_W-R220-C6_E12_S565	14498.247	3730111	6302354	29854	48	0	1	30	0	0	76.000	1821.300	4224.400	7608.000	11881.000	20210.000	0.998	0.994	0.994	0.985	3711710	2595954	1115312	2426
RR065e_04185_W-R220-D6_G12_S567	12082.894	3288465	4020078	29791	70	0	6	25	0	0	24.000	1938.100	3400.200	7105.000	11265.000	16384.500	0.996	0.986	0.986	0.981	3271203	2129458	1141050	1604
RR065e_04186_W-R220-E6_I12_S569	18414.432	4627825	7634148	29771	129	0	3	22	0	0	31.000	2203.700	6341.400	11321.500	17401.000	24360.500	0.996	0.991	0.991	0.988	4604874	3330904	1273032	3442
RR065e_04187_W-R220-F6_K12_S571	46.320	12309	2735282	11977	17804	0	13	15	0	1	0.000	0.000	0.000	0.000	0.000	51.000	0.401	0.316	0.316	0.152	12252	8092	4016	2
RR065e_04188_W-R220-G6_M12_S573	1243.170	331444	4225228	27729	2106	0	7	21	0	0	0.000	2.000	30.000	122.000	500.000	1363.000	0.928	0.901	0.901	0.772	329632	220384	108974	172
RR065e_04189_W-R220-H6_O12_S575	5769.444	1541463	4532362	29630	230	0	0	21	0	0	33.000	401.100	953.200	2141.000	4776.000	8052.000	0.991	0.991	0.991	0.978	1533413	1023736	509348	802
RR065e_04190_W-R220-A7_A14_S593	11909.036	3059348	7062896	29691	163	0	2	21	0	0	12.040	584.000	3046.000	6460.000	11434.000	16475.000	0.993	0.988	0.988	0.982	3044537	2134736	909476	1666
RR065e_04191_W-R220-B7_C14_S595	12647.347	3318498	6329118	29640	260	0	1	28	0	0	20.000	1099.000	2662.200	6630.500	11136.000	17380.500	0.991	0.989	0.989	0.983	3302303	2255406	1046346	1850
RR065e_04192_W-R220-C7_E14_S597	4925.203	1321432	4199488	29553	310	0	3	28	0	0	6.000	98.000	317.000	1192.000	2736.000	6977.500	0.989	0.973	0.973	0.949	1314332	868470	445734	716
RR065e_04193_W-R220-D7_G14_S599	2113.037	570832	3886588	29098	726	0	7	25	0	0	0.000	18.000	50.200	313.000	991.000	2746.000	0.973	0.933	0.933	0.858	567643	371764	195454	338
RR065e_04194_W-R220-E7_I14_S601	18302.734	4754575	7240438	29828	74	0	1	25	0	0	60.000	2625.100	6449.000	11502.000	17589.000	24317.000	0.998	0.995	0.995	0.986	4730782	3269266	1461188	2962
RR065e_04195_W-R220-F7_K14_S603	9408.618	2446424	4898686	29410	493	0	0	24	0	0	0.000	286.000	1928.200	4438.000	8937.000	13045.000	0.984	0.977	0.977	0.970	2433932	1683462	751162	1500
