sample_name	depth_avg	mapped_reads	total_reads	n_actg	n_missing	n_gap	n_ambiguous	ref_snps	ref_mnps	ref_indels	depth_q.01	depth_q.05	depth_q.1	depth_q.25	depth_q.5	depth_q.75	depth_frac_above_10x	depth_frac_above_25x	depth_frac_above_50x	depth_frac_above_100x	mapped_paired	paired_inward	paired_outward	paired_other_orientation
RR065e_04791_W-R267-A1_B01_S2	6501.969	1461272	1884170	29764	90	0	0	27	0	0	60.000	1653.000	2604.200	4043.000	6047.000	8473.000	0.995	0.994	0.994	0.987	1456065	1264052	191486	1060
RR065e_04792_W-R267-B1_D01_S4	7700.685	1767675	2332374	29796	48	0	1	40	0	6	122.000	1073.100	1853.000	3981.500	6941.000	10634.000	0.997	0.997	0.997	0.994	1760188	1455318	302126	4418
RR065e_04793_W-R267-C1_F01_S6	2992.268	678882	865042	29479	298	0	3	21	0	2	4.000	387.000	865.000	1764.000	2839.000	3996.000	0.986	0.974	0.974	0.967	676395	576742	99150	460
RR065e_04794_W-R267-D1_H01_S8	4223.558	952846	1329606	29594	263	0	3	29	0	0	9.000	688.100	1190.200	2138.000	3558.000	5815.000	0.990	0.988	0.988	0.980	949349	820334	128468	734
RR065e_04795_W-R267-E1_J01_S10	9.986	2286	384366	3577	25139	0	7	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.120	0.089	0.089	0.032	2278	1868	336	2
RR065e_04796_W-R267-F1_L01_S12	4448.504	993747	1028400	29847	7	0	2	21	0	0	903.000	1560.100	2035.400	2938.000	4205.000	5705.000	0.998	0.997	0.997	0.996	990479	866558	123670	420
RR065e_04797_W-R267-G1_N01_S14	2361.118	535161	750890	29604	212	0	0	27	0	0	10.000	488.100	812.000	1334.000	2122.000	3074.000	0.990	0.987	0.987	0.979	533358	453972	79174	130
RR065e_04798_W-R267-H1_P01_S16	2515.623	565377	885152	29820	24	0	1	38	0	5	22.020	321.000	571.000	1112.000	1889.000	3341.000	0.997	0.989	0.989	0.980	563278	491384	71728	150
RR065e_04799_W-R267-A2_B03_S34	2000.313	460157	1694628	29785	29	0	4	31	0	1	20.000	98.000	185.000	586.000	1256.000	2737.000	0.996	0.986	0.986	0.949	458586	380372	77822	254
RR065e_04800_W-R267-B2_D03_S36	30227.449	6861424	7138584	29850	52	0	1	22	0	0	7161.460	11085.200	13838.400	18991.500	27039.000	39903.500	0.998	0.997	0.997	0.997	6835457	5776948	1051330	12780
RR065e_04801_W-R267-C2_F03_S38	740.982	170900	1499820	29114	695	0	4	19	0	0	5.000	28.000	49.000	167.000	471.000	1062.000	0.974	0.946	0.946	0.822	170296	140566	29378	152
RR065e_04802_W-R267-D2_H03_S40	3884.545	880354	3361730	29565	299	0	2	26	0	0	4.000	639.000	1142.000	1907.500	3150.000	5347.000	0.989	0.987	0.987	0.987	877322	748044	128746	518
